"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT2A",4.30168680404896e-63,-1.88198481986332,0.985,0.993,1.57446038714996e-58
"AK4",9.87061381676607e-60,3.01827005772841,0.731,0.217,3.61274336307455e-55
"TGFBI",6.37203945760456e-57,-1.85350499901928,0.833,0.942,2.33223016187785e-52
"MT1E",3.87188084904515e-54,-1.81035933484847,0.858,0.959,1.41714710955902e-49
"FOSB",1.96445766284348e-50,-3.24866009494259,0.331,0.76,7.19011149177341e-46
"DHCR24",8.14168369805134e-48,1.77814111734964,0.825,0.364,2.97993765032377e-43
"S100A13",1.64362758522822e-46,-1.09004288213092,0.825,0.934,6.01584132469382e-42
"ADGRD1",5.73045017609775e-46,3.51925314779039,0.556,0.147,2.09740206895354e-41
"MBP",6.19979635367312e-46,2.01185796154621,0.775,0.353,2.2691874634079e-41
"RAB13",7.80887888674293e-46,-1.11015276458162,0.858,0.941,2.85812776133678e-41
"FKBP10",1.24446269400323e-44,-1.16376590607919,0.822,0.92,4.55485790632122e-40
"IGFBP6",1.71762777115544e-43,-1.50560858082624,0.76,0.931,6.28668940520601e-39
"FOS",3.23850983429209e-43,-2.20730878403002,0.68,0.875,1.18532698444925e-38
"HMGB1",2.22326768503413e-42,-0.75786610005582,0.938,0.962,8.13738205399342e-38
"EGR1",6.06077324358581e-42,-2.25493913372312,0.491,0.807,2.21830361488484e-37
"PPP1R15A",2.4583214292127e-41,-1.52098390096995,0.782,0.876,8.99770226306141e-37
"CCDC181",3.72150066086761e-41,-4.65499355209555,0.091,0.555,1.36210645688416e-36
"NR4A3",4.17366915136136e-41,-4.0492142138267,0.207,0.637,1.52760464608977e-36
"HSPG2",4.93691974551516e-40,1.28375941391008,0.931,0.824,1.806961996056e-35
"HIF1A",1.42008703464317e-39,0.969914705264267,0.975,0.934,5.19766055549746e-35
"ACTN4",2.67944562318329e-39,1.11509196548432,0.967,0.919,9.80703892541317e-35
"INMT",2.89681246250003e-39,2.57914485783415,0.498,0.115,1.06026232939964e-34
"B4GALT5",3.31808624847317e-39,1.98489194672614,0.895,0.625,1.21445274780367e-34
"PTPRF",3.86738344326181e-39,2.66889980237915,0.68,0.257,1.41550101406826e-34
