"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"MT2A",4.30168680404896e-63,1.88198481986332,0.993,0.985,1.57446038714996e-58,"Up_in_3D"
"AK4",9.87061381676607e-60,-3.01827005772841,0.217,0.731,3.61274336307455e-55,"Up_in_2D"
"TGFBI",6.37203945760456e-57,1.85350499901928,0.942,0.833,2.33223016187785e-52,"Up_in_3D"
"MT1E",3.87188084904515e-54,1.81035933484847,0.959,0.858,1.41714710955902e-49,"Up_in_3D"
"FOSB",1.96445766284348e-50,3.24866009494259,0.76,0.331,7.19011149177341e-46,"Up_in_3D"
"DHCR24",8.14168369805134e-48,-1.77814111734964,0.364,0.825,2.97993765032377e-43,"Up_in_2D"
"S100A13",1.64362758522822e-46,1.09004288213092,0.934,0.825,6.01584132469382e-42,"Up_in_3D"
"ADGRD1",5.73045017609775e-46,-3.51925314779039,0.147,0.556,2.09740206895354e-41,"Up_in_2D"
"MBP",6.19979635367312e-46,-2.01185796154621,0.353,0.775,2.2691874634079e-41,"Up_in_2D"
"RAB13",7.80887888674293e-46,1.11015276458162,0.941,0.858,2.85812776133678e-41,"Up_in_3D"
"FKBP10",1.24446269400323e-44,1.16376590607919,0.92,0.822,4.55485790632122e-40,"Up_in_3D"
"IGFBP6",1.71762777115544e-43,1.50560858082624,0.931,0.76,6.28668940520601e-39,"Up_in_3D"
"FOS",3.23850983429209e-43,2.20730878403002,0.875,0.68,1.18532698444925e-38,"Up_in_3D"
"HMGB1",2.22326768503413e-42,0.75786610005582,0.962,0.938,8.13738205399342e-38,"Up_in_3D"
"EGR1",6.06077324358581e-42,2.25493913372312,0.807,0.491,2.21830361488484e-37,"Up_in_3D"
"PPP1R15A",2.4583214292127e-41,1.52098390096995,0.876,0.782,8.99770226306141e-37,"Up_in_3D"
"CCDC181",3.72150066086761e-41,4.65499355209555,0.555,0.091,1.36210645688416e-36,"Up_in_3D"
"NR4A3",4.17366915136136e-41,4.0492142138267,0.637,0.207,1.52760464608977e-36,"Up_in_3D"
"HSPG2",4.93691974551516e-40,-1.28375941391008,0.824,0.931,1.806961996056e-35,"Up_in_2D"
"HIF1A",1.42008703464317e-39,-0.969914705264267,0.934,0.975,5.19766055549746e-35,"Up_in_2D"
"ACTN4",2.67944562318329e-39,-1.11509196548432,0.919,0.967,9.80703892541317e-35,"Up_in_2D"
"INMT",2.89681246250003e-39,-2.57914485783415,0.115,0.498,1.06026232939964e-34,"Up_in_2D"
"B4GALT5",3.31808624847317e-39,-1.98489194672614,0.625,0.895,1.21445274780367e-34,"Up_in_2D"
"PTPRF",3.86738344326181e-39,-2.66889980237915,0.257,0.68,1.41550101406826e-34,"Up_in_2D"
"BTG1",1.63578750772413e-38,1.24546641804622,0.904,0.873,5.9871458570211e-34,"Up_in_3D"
"PARD3B",8.24647853884466e-38,-2.17446391174265,0.705,0.895,3.01829361000253e-33,"Up_in_2D"
"HMGA1",1.13097192330872e-37,1.64354068435745,0.889,0.764,4.13947033650225e-33,"Up_in_3D"
"TIMP1",1.64297030448207e-37,1.21337721439476,0.976,0.927,6.01343561143483e-33,"Up_in_3D"
