"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"APOB",2.86107749239658e-88,1.84337831915969,0.895,0.576,1.04718297299207e-83
"PLIN2",1.86724873201828e-65,1.81872344783883,0.751,0.465,6.83431708406009e-61
"MT1G",1.22103429639391e-62,-1.94089728653859,0.552,0.83,4.46910762823135e-58
"RBP4",2.36441556867412e-61,-1.5449093300142,0.501,0.839,8.65399742290414e-57
"NDUFA4",6.26950534967186e-56,-1.44245642779894,0.37,0.724,2.2947016530334e-51
"AKR1C2",3.45026010385097e-53,-1.31774235568967,0.581,0.858,1.26282970061049e-48
"CP",2.67940516437292e-49,1.48826817399292,0.728,0.476,9.80689084212133e-45
"MT1H",1.23178523015096e-47,-2.0300449257952,0.184,0.509,4.50845712087553e-43
"COX8A",7.78808543108682e-45,-1.52951505377585,0.272,0.591,2.85051714863209e-40
"RPL41",6.11140276942259e-42,-0.862454815201112,0.848,0.923,2.23683452763636e-37
"CTSB",7.24150006518239e-42,1.63360491055924,0.712,0.545,2.65046143885741e-37
"GAPDH",2.13027003128044e-40,-0.906067568539881,0.809,0.903,7.79700134148954e-36
"MT1M",4.68394026433261e-39,-1.71909970827624,0.293,0.6,1.71436897614838e-34
"HPD",3.74007532457687e-38,-1.18759738012962,0.45,0.736,1.36890496954838e-33
"CRP",1.36863889646808e-37,1.91850817730142,0.601,0.356,5.00935522496283e-33
"RPL30",4.14458887421551e-37,-0.897084000232974,0.64,0.852,1.51696097385162e-32
"APOC3",5.28147040433213e-37,-1.31472346344667,0.499,0.789,1.9330709826896e-32
"RPS23",1.68722201572388e-36,-0.817227216864664,0.683,0.87,6.17540129975096e-32
"COX6C",5.55881387558144e-36,-1.14823989284879,0.423,0.697,2.03458146660156e-31
"COX6A1",6.16038064504565e-36,-1.14002199345127,0.352,0.652,2.25476091989316e-31
"GSTA1",2.57932443091421e-35,-1.56121926139968,0.265,0.545,9.4405853495891e-31
"DDT",4.04836387008499e-35,-1.2029143656885,0.304,0.598,1.48174166008981e-30
"HULC",5.07165028940827e-35,-1.96280790111849,0.172,0.426,1.85627472242632e-30
"COX7A2",6.47834463670227e-35,-1.1203150944947,0.387,0.67,2.3711389204794e-30
"MT2A",1.23098376582815e-34,-0.76769293005233,0.996,0.985,4.5055236813076e-30
"SDS",6.33485176244265e-33,-1.29811514088145,0.136,0.395,2.31861909357164e-28
"SRP14",6.3719218308186e-33,-1.0036396236905,0.421,0.708,2.33218710929792e-28
"NME2",4.01582796908621e-32,-0.839668145960904,0.604,0.811,1.46983319496524e-27
"COX5B",4.7074676703524e-32,-1.03996776887944,0.367,0.652,1.72298024202568e-27
"CHCHD10",8.60366900042503e-32,-1.05687394038073,0.445,0.694,3.14902889084556e-27
"CYB5A",3.21996106603049e-31,-1.04207017058098,0.43,0.697,1.17853794977782e-26
"MGST3",3.54467219589343e-31,-1.22333428092627,0.341,0.609,1.29738547041896e-26
"RPS15A",1.19398438861839e-30,-0.783268542299163,0.568,0.818,4.37010226078217e-26
"HINT1",1.59661222387779e-30,-0.926177381991577,0.527,0.752,5.84376040061509e-26
"ATP5MC3",2.32527522013774e-30,-1.01408582586563,0.427,0.683,8.51073983322615e-26
"PPDPF",3.71718037657684e-30,-1.06403651684618,0.274,0.559,1.36052518963089e-25
"LGALS4",4.10767767025989e-30,-1.10623711924583,0.362,0.63,1.50345110409182e-25
"TXN",6.50556023819168e-30,-0.824575814997722,0.686,0.862,2.38110010278054e-25
