"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"APOB",2.86107749239658e-88,-1.84337831915969,0.576,0.895,1.04718297299207e-83,"Up_in_2D"
"PLIN2",1.86724873201828e-65,-1.81872344783883,0.465,0.751,6.83431708406009e-61,"Up_in_2D"
"MT1G",1.22103429639391e-62,1.94089728653859,0.83,0.552,4.46910762823135e-58,"Up_in_3D"
"RBP4",2.36441556867412e-61,1.5449093300142,0.839,0.501,8.65399742290414e-57,"Up_in_3D"
"NDUFA4",6.26950534967186e-56,1.44245642779894,0.724,0.37,2.2947016530334e-51,"Up_in_3D"
"AKR1C2",3.45026010385097e-53,1.31774235568967,0.858,0.581,1.26282970061049e-48,"Up_in_3D"
"CP",2.67940516437292e-49,-1.48826817399292,0.476,0.728,9.80689084212133e-45,"Up_in_2D"
"MT1H",1.23178523015096e-47,2.0300449257952,0.509,0.184,4.50845712087553e-43,"Up_in_3D"
"COX8A",7.78808543108682e-45,1.52951505377585,0.591,0.272,2.85051714863209e-40,"Up_in_3D"
"RPL41",6.11140276942259e-42,0.862454815201112,0.923,0.848,2.23683452763636e-37,"Up_in_3D"
"CTSB",7.24150006518239e-42,-1.63360491055924,0.545,0.712,2.65046143885741e-37,"Up_in_2D"
"GAPDH",2.13027003128044e-40,0.906067568539881,0.903,0.809,7.79700134148954e-36,"Up_in_3D"
"MT1M",4.68394026433261e-39,1.71909970827624,0.6,0.293,1.71436897614838e-34,"Up_in_3D"
"HPD",3.74007532457687e-38,1.18759738012962,0.736,0.45,1.36890496954838e-33,"Up_in_3D"
"CRP",1.36863889646808e-37,-1.91850817730142,0.356,0.601,5.00935522496283e-33,"Up_in_2D"
"RPL30",4.14458887421551e-37,0.897084000232974,0.852,0.64,1.51696097385162e-32,"Up_in_3D"
"APOC3",5.28147040433213e-37,1.31472346344667,0.789,0.499,1.9330709826896e-32,"Up_in_3D"
"RPS23",1.68722201572388e-36,0.817227216864664,0.87,0.683,6.17540129975096e-32,"Up_in_3D"
"COX6C",5.55881387558144e-36,1.14823989284879,0.697,0.423,2.03458146660156e-31,"Up_in_3D"
"COX6A1",6.16038064504565e-36,1.14002199345127,0.652,0.352,2.25476091989316e-31,"Up_in_3D"
"GSTA1",2.57932443091421e-35,1.56121926139968,0.545,0.265,9.4405853495891e-31,"Up_in_3D"
"DDT",4.04836387008499e-35,1.2029143656885,0.598,0.304,1.48174166008981e-30,"Up_in_3D"
"HULC",5.07165028940827e-35,1.96280790111849,0.426,0.172,1.85627472242632e-30,"Up_in_3D"
"COX7A2",6.47834463670227e-35,1.1203150944947,0.67,0.387,2.3711389204794e-30,"Up_in_3D"
"MT2A",1.23098376582815e-34,0.76769293005233,0.985,0.996,4.5055236813076e-30,"Up_in_3D"
"SDS",6.33485176244265e-33,1.29811514088145,0.395,0.136,2.31861909357164e-28,"Up_in_3D"
"SRP14",6.3719218308186e-33,1.0036396236905,0.708,0.421,2.33218710929792e-28,"Up_in_3D"
"NME2",4.01582796908621e-32,0.839668145960904,0.811,0.604,1.46983319496524e-27,"Up_in_3D"
"COX5B",4.7074676703524e-32,1.03996776887944,0.652,0.367,1.72298024202568e-27,"Up_in_3D"
"CHCHD10",8.60366900042503e-32,1.05687394038073,0.694,0.445,3.14902889084556e-27,"Up_in_3D"
"CYB5A",3.21996106603049e-31,1.04207017058098,0.697,0.43,1.17853794977782e-26,"Up_in_3D"
"MGST3",3.54467219589343e-31,1.22333428092627,0.609,0.341,1.29738547041896e-26,"Up_in_3D"
"RPS15A",1.19398438861839e-30,0.783268542299163,0.818,0.568,4.37010226078217e-26,"Up_in_3D"
"HINT1",1.59661222387779e-30,0.926177381991577,0.752,0.527,5.84376040061509e-26,"Up_in_3D"
"ATP5MC3",2.32527522013774e-30,1.01408582586563,0.683,0.427,8.51073983322615e-26,"Up_in_3D"
"PPDPF",3.71718037657684e-30,1.06403651684618,0.559,0.274,1.36052518963089e-25,"Up_in_3D"
"LGALS4",4.10767767025989e-30,1.10623711924583,0.63,0.362,1.50345110409182e-25,"Up_in_3D"
"TXN",6.50556023819168e-30,0.824575814997722,0.862,0.686,2.38110010278054e-25,"Up_in_3D"
"UQCRQ",9.88642644652428e-30,0.894429285715628,0.768,0.524,3.61853094369235e-25,"Up_in_3D"
"NDUFA7",1.0194578684011e-29,1.47242534123519,0.394,0.159,3.73131774413487e-25,"Up_in_3D"
"MGP",1.04871864559419e-29,1.84392835284823,0.435,0.17,3.83841511473928e-25,"Up_in_3D"
"HIF1A",8.3945118483251e-29,-1.71058361343234,0.377,0.556,3.07247528160547e-24,"Up_in_2D"
"COX7B",9.68089364722571e-29,1.02429141350191,0.636,0.365,3.54330388382108e-24,"Up_in_3D"
"ATP5MF",1.29198547980835e-28,0.974333908981106,0.627,0.355,4.72879605464654e-24,"Up_in_3D"
"NDUFA1",1.84222617962841e-28,1.00892233038361,0.605,0.327,6.74273204005793e-24,"Up_in_3D"
"SERF2",2.26909861332639e-28,0.721745739745828,0.859,0.679,8.30512783463593e-24,"Up_in_3D"
"PRDX6",8.7535637209864e-28,0.915837840930585,0.686,0.431,3.20389185751823e-23,"Up_in_3D"
