"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT2A",3.23798246410724e-60,-1.3807455629524,0.998,0.99,1.18513396168789e-55
"APOB",3.0308445367221e-35,2.07090633014788,0.754,0.394,1.10931940888566e-30
"FTH1",8.12750533722598e-31,-0.817456189955383,0.998,1,2.97474822847808e-26
"LGALS1",5.35298606540181e-30,-0.984191757265257,0.793,0.958,1.95924642979772e-25
"MT1E",5.46229584530896e-30,-1.20570259056884,0.577,0.856,1.99925490234153e-25
"FOS",2.21032569208358e-27,-3.08226676252018,0.026,0.295,8.0900130655951e-23
"MT1G",7.55940965825342e-26,-1.81896742289697,0.299,0.663,2.76681952901733e-21
"CRIP1",2.24635481413583e-25,-3.90580849377843,0.021,0.269,8.22188325521856e-21
"TXN",3.6322943019341e-24,-0.898818692781422,0.62,0.897,1.3294560374509e-19
"MALAT1",3.80558505280743e-24,-0.647685967190111,0.989,0.997,1.39288218517805e-19
"TMSB4X",6.71793822457066e-24,-0.949334180346264,0.927,0.946,2.45883256957511e-19
"PRSS3",3.75718470520693e-23,-4.19676335502466,0.028,0.263,1.37516717395279e-18
"TNFRSF12A",7.90102645239469e-23,-1.76322675617307,0.141,0.462,2.89185469184098e-18
"AKR1C3",9.44632730239532e-23,-1.6285267596522,0.209,0.548,3.45745025594971e-18
"AKR1C2",1.33953375613994e-22,-1.99830271531632,0.382,0.667,4.90282750084779e-18
"HMGA1",3.44246030704342e-22,-2.1281926401985,0.122,0.42,1.25997489698096e-17
"UQCR10",4.09844118160632e-22,-1.32121006205866,0.222,0.574,1.50007045687973e-17
"SLC25A5",6.62578715740016e-22,-1.5287903326013,0.222,0.558,2.42510435748003e-17
"FTL",1.6374584910778e-21,-0.839381283199292,1,0.997,5.99326182319384e-17
"S100A13",1.96545648564873e-21,-1.35689806655135,0.184,0.522,7.1937672831229e-17
"MGP",3.28074877295678e-21,-1.50978642690477,0.203,0.548,1.20078685838991e-16
"S100A16",4.54932019600889e-21,-1.4182547953952,0.306,0.628,1.66509668494122e-16
"RPS27L",5.2648512493605e-21,-1.07972867839554,0.476,0.75,1.92698820577844e-16
"S100A10",1.12971924200187e-20,-0.818746118669606,0.688,0.888,4.13488539765104e-16
"PTGR1",1.26830355415086e-20,-1.31438350448497,0.444,0.753,4.64211783854758e-16
"HPD",1.89352037115991e-20,-1.93472978088427,0.145,0.439,6.93047391048239e-16
"BLVRB",1.95909091742976e-20,-1.61804396140107,0.152,0.465,7.17046866688468e-16
"RPS15A",3.19002696870415e-20,-0.648731449706099,0.624,0.929,1.16758177081541e-15
"VDAC2",3.30391823668748e-20,-1.24191487261282,0.239,0.58,1.20926711380998e-15
"RBP4",6.66765797304481e-20,-1.39190596785822,0.244,0.561,2.44042949471413e-15
"APOC3",6.95767655772676e-20,-1.5462897026016,0.203,0.532,2.54657919689357e-15
"VIM",1.56336964012538e-19,-1.12422947187587,0.716,0.888,5.72208921982291e-15
"IGFBP6",2.9230235074194e-19,-1.64381505766077,0.096,0.372,1.06985583395057e-14
"DRAP1",5.79800625727028e-19,-1.47530525271979,0.15,0.439,2.12212827022349e-14
"AKR1C1",9.95648817390359e-19,-1.31412765289189,0.483,0.737,3.64417423653045e-14
"MT1M",1.0462109145244e-18,-1.7593875010677,0.167,0.458,3.82923656825076e-14
"ATP5MF",1.06680954314044e-18,-1.07543708978093,0.291,0.628,3.90462960884833e-14
"GSTO1",1.67678474037855e-18,-1.04525284411412,0.338,0.654,6.13719982825954e-14
"NME2",1.77205816797198e-18,-0.784888626850476,0.615,0.853,6.48591010059424e-14
"PRDX2",3.09976831404183e-18,-1.13158081171788,0.19,0.497,1.13454620062245e-13
"RPL10",5.2641157187108e-18,-0.578845345585492,0.782,0.946,1.92671899420534e-13
"ATF3",5.39748855122721e-18,-1.91330137875119,0.047,0.269,1.97553478463467e-13
"COX5A",6.23393036891499e-18,-1.23895786874934,0.229,0.538,2.28168085432658e-13
"RPS28",1.13563081893038e-17,-0.582744579848563,0.833,0.958,4.15652236036708e-13
"RPL30",1.88387151413075e-17,-0.679979671909582,0.684,0.91,6.89515812886995e-13
"RPL41",1.98536150543578e-17,-0.558726794500442,0.87,0.978,7.26662164604549e-13
"CP",2.05040147931841e-17,1.80054517820034,0.532,0.256,7.50467445445331e-13
"RPL12",3.0803013266943e-17,-0.64314666033208,0.765,0.939,1.12742108858338e-12
"ID3",4.05042617316861e-17,-1.73643219526756,0.083,0.327,1.48249648364144e-12
"RPL26",5.24256442418261e-17,-0.587475509056732,0.748,0.933,1.91883100489508e-12
"MRPL13",7.46435482842556e-17,-1.46518043170771,0.077,0.314,2.73202851075204e-12
"SRP14",7.62333574499679e-17,-0.79095198090009,0.444,0.76,2.79021711602627e-12
"RPL29",9.51726364635959e-17,-0.686240493123218,0.673,0.888,3.48341366720408e-12
"TP53I3",9.83893724050834e-17,-1.44819013741667,0.083,0.324,3.60114941939846e-12
"NDUFB3",1.02161620199419e-16,-1.10545898727617,0.145,0.426,3.73921746091892e-12
"TMEM158",1.70240165829669e-16,-3.37151144337428,0.015,0.179,6.23096030953172e-12
"C19orf53",1.78294988618656e-16,-1.18827949804312,0.158,0.449,6.52577487843145e-12
"HINT1",1.99699444647685e-16,-0.88730210142193,0.425,0.715,7.30919937354992e-12
"RPS10",2.06203369803634e-16,-0.954429855209765,0.397,0.696,7.54724953818279e-12
"RPS23",3.07176609640415e-16,-0.541178905860382,0.786,0.955,1.12429710894488e-11
"COX7A2",4.52334664595222e-16,-0.987989997125367,0.353,0.667,1.65559010588497e-11
"FGA",4.83885079639085e-16,1.1014711073083,0.746,0.535,1.77106777998701e-11
"ATP5F1D",5.46444468963405e-16,-1.03176433997393,0.314,0.622,2.00004140085296e-11
"RPS27A",5.84235967223574e-16,-0.512705026493268,0.863,0.968,2.138362063635e-11
"EIF1",7.33324517981482e-16,-0.721918204390549,0.671,0.881,2.68404106826402e-11
"SRI",9.91916876046578e-16,-1.75388813769414,0.105,0.343,3.63051495801808e-11
"MT1H",1.23077636535597e-15,-2.36153609947194,0.056,0.26,4.50476457483938e-11
"COX8A",1.23284622891778e-15,-1.08211434422597,0.284,0.583,4.51234048246196e-11
"GADD45GIP1",1.27360201942489e-15,-1.35909018392262,0.165,0.429,4.66151075129705e-11
"SKP1",1.32441867550507e-15,-1.04818650686493,0.346,0.641,4.84750479421609e-11
"S100A11",1.66359536646534e-15,-0.546429218628678,0.697,0.881,6.08892540079979e-11
"FAU",1.9351098622667e-15,-0.717995035391416,0.59,0.814,7.08269560688234e-11
"CYB5A",2.33286110653614e-15,-1.26591067973721,0.229,0.503,8.53850493603294e-11
"SMDT1",2.57061030046445e-15,-1.71057598158789,0.062,0.269,9.40869076072994e-11
"RPS7",3.20061925016408e-15,-0.613613768218883,0.718,0.904,1.17145865175255e-10
"SDS",3.48225199002323e-15,-2.70276527362567,0.024,0.189,1.2745390508684e-10
"BTF3",3.52349642585675e-15,-0.917754692175943,0.34,0.651,1.28963492682783e-10
"S100A6",3.98664220981976e-15,-1.13165278251207,0.87,0.913,1.45915091521613e-10
"RPS18",4.29237894184309e-15,-0.396136257563014,0.859,0.974,1.57105361650399e-10
"RALA",4.694166245446e-15,-1.6545052234709,0.19,0.436,1.71811178749569e-10
"ALDH1A3",4.76156230184338e-15,-2.50726461637735,0.038,0.218,1.74277941809769e-10
"ADIRF",6.01661213766875e-15,-1.46106214287717,0.036,0.218,2.20214020850814e-10
"GSTA1",7.45315346818392e-15,-1.77976228706608,0.094,0.317,2.72792870089e-10
"LXN",9.61221453189538e-15,-2.78442963329678,0.032,0.202,3.51816664081903e-10
"RPL27",1.19181737565954e-14,-0.508661849203669,0.632,0.885,4.36217077665147e-10
"DCTN3",1.27137292067408e-14,-1.22798626819396,0.092,0.317,4.65335202695919e-10
"COX6C",1.32024582807331e-14,-0.911469225383984,0.346,0.651,4.83223175533111e-10
"IGFBP2",1.38983959574823e-14,-1.6487917474382,0.19,0.426,5.08695190439809e-10
"GAPDH",1.722781339319e-14,-0.484420763563739,0.827,0.955,6.30555198004145e-10
"AK1",1.99531279623483e-14,-1.27627270924918,0.092,0.314,7.30304436549912e-10
"NDUFB4",2.34128460577779e-14,-0.981113417460529,0.226,0.503,8.56933578560728e-10
"FOSB",2.72691540208034e-14,-4.08397362246627,0.004,0.131,9.98078306315425e-10
"NBL1",2.89344533707043e-14,-1.55060414301419,0.038,0.215,1.05902992782115e-09
"NDUFA7",2.97315344865748e-14,-1.19261527218975,0.107,0.34,1.08820389374313e-09
"ITGB1",3.03534057614387e-14,1.05473515942296,0.733,0.542,1.11096500427442e-09
"ECHS1",3.09755561096241e-14,-1.0423402334163,0.147,0.407,1.13373632916835e-09
"REXO2",3.2518656215247e-14,-0.916655449622715,0.179,0.449,1.19021533613425e-09
"MRPL36",3.41989032114334e-14,-1.7679192285863,0.077,0.279,1.25171405644167e-09
"UQCRQ",3.59413270757791e-14,-0.839412965597899,0.442,0.715,1.31548851230059e-09
"RPL32",3.74983603226748e-14,-0.484445921341443,0.799,0.952,1.37247748617022e-09
"SF3B5",4.0430298952256e-14,-1.22393627199512,0.135,0.375,1.47978937195152e-09
"ID4",4.27993675228778e-14,-2.80541083318256,0.013,0.154,1.56649965070485e-09
"RAC2",4.48989497405917e-14,-2.0274143052177,0.043,0.218,1.6433464594554e-09
"CHCHD10",4.82744442644871e-14,-1.06763951416159,0.214,0.484,1.76689293452449e-09
"OCIAD2",5.22862885480663e-14,-1.16046620797428,0.222,0.494,1.91373044714777e-09
"RPL14",5.51067980562395e-14,-0.559285473732947,0.709,0.894,2.01696391565642e-09
"DNPH1",5.8704231229814e-14,-1.38463150982097,0.111,0.337,2.14863356724242e-09
"C1QBP",6.86189665743256e-14,-1.03487779618329,0.158,0.417,2.51152279558689e-09
"COX7B",7.74194483150953e-14,-0.866103489866343,0.301,0.59,2.8336292277808e-09
"SVIP",9.35950752680188e-14,-1.51711568099216,0.066,0.263,3.42567334988476e-09
"ATP5F1C",1.00158720492127e-13,-1.00905532481009,0.182,0.442,3.66590932873235e-09
"NDUFAB1",1.34723730017758e-13,-1.019138993494,0.15,0.401,4.93102324237997e-09
"RGS4",1.39345533527353e-13,-2.16538485923741,0.021,0.17,5.10018587263465e-09
"MRPS24",1.4827574333168e-13,-1.2581567635251,0.135,0.369,5.42704048168282e-09
"RPS12",1.51828904000888e-13,-0.344851193563652,0.848,0.987,5.5570897153365e-09
