"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","Direction"
"MT2A",3.23798246410724e-60,1.3807455629524,0.99,0.998,1.18513396168789e-55,"Up_in_3D"
"APOB",3.0308445367221e-35,-2.07090633014788,0.394,0.754,1.10931940888566e-30,"Up_in_2D"
"FTH1",8.12750533722598e-31,0.817456189955383,1,0.998,2.97474822847808e-26,"Up_in_3D"
"LGALS1",5.35298606540181e-30,0.984191757265257,0.958,0.793,1.95924642979772e-25,"Up_in_3D"
"MT1E",5.46229584530896e-30,1.20570259056884,0.856,0.577,1.99925490234153e-25,"Up_in_3D"
"FOS",2.21032569208358e-27,3.08226676252018,0.295,0.026,8.0900130655951e-23,"Up_in_3D"
"MT1G",7.55940965825342e-26,1.81896742289697,0.663,0.299,2.76681952901733e-21,"Up_in_3D"
"CRIP1",2.24635481413583e-25,3.90580849377843,0.269,0.021,8.22188325521856e-21,"Up_in_3D"
"TXN",3.6322943019341e-24,0.898818692781422,0.897,0.62,1.3294560374509e-19,"Up_in_3D"
"MALAT1",3.80558505280743e-24,0.647685967190111,0.997,0.989,1.39288218517805e-19,"Up_in_3D"
"TMSB4X",6.71793822457066e-24,0.949334180346264,0.946,0.927,2.45883256957511e-19,"Up_in_3D"
"PRSS3",3.75718470520693e-23,4.19676335502466,0.263,0.028,1.37516717395279e-18,"Up_in_3D"
"TNFRSF12A",7.90102645239469e-23,1.76322675617307,0.462,0.141,2.89185469184098e-18,"Up_in_3D"
"AKR1C3",9.44632730239532e-23,1.6285267596522,0.548,0.209,3.45745025594971e-18,"Up_in_3D"
"AKR1C2",1.33953375613994e-22,1.99830271531632,0.667,0.382,4.90282750084779e-18,"Up_in_3D"
"HMGA1",3.44246030704342e-22,2.1281926401985,0.42,0.122,1.25997489698096e-17,"Up_in_3D"
"UQCR10",4.09844118160632e-22,1.32121006205866,0.574,0.222,1.50007045687973e-17,"Up_in_3D"
"SLC25A5",6.62578715740016e-22,1.5287903326013,0.558,0.222,2.42510435748003e-17,"Up_in_3D"
"FTL",1.6374584910778e-21,0.839381283199292,0.997,1,5.99326182319384e-17,"Up_in_3D"
"S100A13",1.96545648564873e-21,1.35689806655135,0.522,0.184,7.1937672831229e-17,"Up_in_3D"
"MGP",3.28074877295678e-21,1.50978642690477,0.548,0.203,1.20078685838991e-16,"Up_in_3D"
"S100A16",4.54932019600889e-21,1.4182547953952,0.628,0.306,1.66509668494122e-16,"Up_in_3D"
"RPS27L",5.2648512493605e-21,1.07972867839554,0.75,0.476,1.92698820577844e-16,"Up_in_3D"
"S100A10",1.12971924200187e-20,0.818746118669606,0.888,0.688,4.13488539765104e-16,"Up_in_3D"
"PTGR1",1.26830355415086e-20,1.31438350448497,0.753,0.444,4.64211783854758e-16,"Up_in_3D"
"HPD",1.89352037115991e-20,1.93472978088427,0.439,0.145,6.93047391048239e-16,"Up_in_3D"
"BLVRB",1.95909091742976e-20,1.61804396140107,0.465,0.152,7.17046866688468e-16,"Up_in_3D"
"RPS15A",3.19002696870415e-20,0.648731449706099,0.929,0.624,1.16758177081541e-15,"Up_in_3D"
"VDAC2",3.30391823668748e-20,1.24191487261282,0.58,0.239,1.20926711380998e-15,"Up_in_3D"
"RBP4",6.66765797304481e-20,1.39190596785822,0.561,0.244,2.44042949471413e-15,"Up_in_3D"
"APOC3",6.95767655772676e-20,1.5462897026016,0.532,0.203,2.54657919689357e-15,"Up_in_3D"
"VIM",1.56336964012538e-19,1.12422947187587,0.888,0.716,5.72208921982291e-15,"Up_in_3D"
"IGFBP6",2.9230235074194e-19,1.64381505766077,0.372,0.096,1.06985583395057e-14,"Up_in_3D"
"DRAP1",5.79800625727028e-19,1.47530525271979,0.439,0.15,2.12212827022349e-14,"Up_in_3D"
"AKR1C1",9.95648817390359e-19,1.31412765289189,0.737,0.483,3.64417423653045e-14,"Up_in_3D"
"MT1M",1.0462109145244e-18,1.7593875010677,0.458,0.167,3.82923656825076e-14,"Up_in_3D"
"ATP5MF",1.06680954314044e-18,1.07543708978093,0.628,0.291,3.90462960884833e-14,"Up_in_3D"
"GSTO1",1.67678474037855e-18,1.04525284411412,0.654,0.338,6.13719982825954e-14,"Up_in_3D"
"NME2",1.77205816797198e-18,0.784888626850476,0.853,0.615,6.48591010059424e-14,"Up_in_3D"
"PRDX2",3.09976831404183e-18,1.13158081171788,0.497,0.19,1.13454620062245e-13,"Up_in_3D"
"RPL10",5.2641157187108e-18,0.578845345585492,0.946,0.782,1.92671899420534e-13,"Up_in_3D"
"ATF3",5.39748855122721e-18,1.91330137875119,0.269,0.047,1.97553478463467e-13,"Up_in_3D"
"COX5A",6.23393036891499e-18,1.23895786874934,0.538,0.229,2.28168085432658e-13,"Up_in_3D"
"RPS28",1.13563081893038e-17,0.582744579848563,0.958,0.833,4.15652236036708e-13,"Up_in_3D"
"RPL30",1.88387151413075e-17,0.679979671909582,0.91,0.684,6.89515812886995e-13,"Up_in_3D"
"RPL41",1.98536150543578e-17,0.558726794500442,0.978,0.87,7.26662164604549e-13,"Up_in_3D"
"CP",2.05040147931841e-17,-1.80054517820034,0.256,0.532,7.50467445445331e-13,"Up_in_2D"
"RPL12",3.0803013266943e-17,0.64314666033208,0.939,0.765,1.12742108858338e-12,"Up_in_3D"
"ID3",4.05042617316861e-17,1.73643219526756,0.327,0.083,1.48249648364144e-12,"Up_in_3D"
"RPL26",5.24256442418261e-17,0.587475509056732,0.933,0.748,1.91883100489508e-12,"Up_in_3D"
"MRPL13",7.46435482842556e-17,1.46518043170771,0.314,0.077,2.73202851075204e-12,"Up_in_3D"
"SRP14",7.62333574499679e-17,0.79095198090009,0.76,0.444,2.79021711602627e-12,"Up_in_3D"
"RPL29",9.51726364635959e-17,0.686240493123218,0.888,0.673,3.48341366720408e-12,"Up_in_3D"
"TP53I3",9.83893724050834e-17,1.44819013741667,0.324,0.083,3.60114941939846e-12,"Up_in_3D"
"NDUFB3",1.02161620199419e-16,1.10545898727617,0.426,0.145,3.73921746091892e-12,"Up_in_3D"
"TMEM158",1.70240165829669e-16,3.37151144337428,0.179,0.015,6.23096030953172e-12,"Up_in_3D"
"C19orf53",1.78294988618656e-16,1.18827949804312,0.449,0.158,6.52577487843145e-12,"Up_in_3D"
"HINT1",1.99699444647685e-16,0.88730210142193,0.715,0.425,7.30919937354992e-12,"Up_in_3D"
"RPS10",2.06203369803634e-16,0.954429855209765,0.696,0.397,7.54724953818279e-12,"Up_in_3D"
"RPS23",3.07176609640415e-16,0.541178905860382,0.955,0.786,1.12429710894488e-11,"Up_in_3D"
"COX7A2",4.52334664595222e-16,0.987989997125367,0.667,0.353,1.65559010588497e-11,"Up_in_3D"
"FGA",4.83885079639085e-16,-1.1014711073083,0.535,0.746,1.77106777998701e-11,"Up_in_2D"
"ATP5F1D",5.46444468963405e-16,1.03176433997393,0.622,0.314,2.00004140085296e-11,"Up_in_3D"
"RPS27A",5.84235967223574e-16,0.512705026493268,0.968,0.863,2.138362063635e-11,"Up_in_3D"
"EIF1",7.33324517981482e-16,0.721918204390549,0.881,0.671,2.68404106826402e-11,"Up_in_3D"
"SRI",9.91916876046578e-16,1.75388813769414,0.343,0.105,3.63051495801808e-11,"Up_in_3D"
"MT1H",1.23077636535597e-15,2.36153609947194,0.26,0.056,4.50476457483938e-11,"Up_in_3D"
"COX8A",1.23284622891778e-15,1.08211434422597,0.583,0.284,4.51234048246196e-11,"Up_in_3D"
"GADD45GIP1",1.27360201942489e-15,1.35909018392262,0.429,0.165,4.66151075129705e-11,"Up_in_3D"
"SKP1",1.32441867550507e-15,1.04818650686493,0.641,0.346,4.84750479421609e-11,"Up_in_3D"
"S100A11",1.66359536646534e-15,0.546429218628678,0.881,0.697,6.08892540079979e-11,"Up_in_3D"
"FAU",1.9351098622667e-15,0.717995035391416,0.814,0.59,7.08269560688234e-11,"Up_in_3D"
"CYB5A",2.33286110653614e-15,1.26591067973721,0.503,0.229,8.53850493603294e-11,"Up_in_3D"
"SMDT1",2.57061030046445e-15,1.71057598158789,0.269,0.062,9.40869076072994e-11,"Up_in_3D"
"RPS7",3.20061925016408e-15,0.613613768218883,0.904,0.718,1.17145865175255e-10,"Up_in_3D"
"SDS",3.48225199002323e-15,2.70276527362567,0.189,0.024,1.2745390508684e-10,"Up_in_3D"
"BTF3",3.52349642585675e-15,0.917754692175943,0.651,0.34,1.28963492682783e-10,"Up_in_3D"
"S100A6",3.98664220981976e-15,1.13165278251207,0.913,0.87,1.45915091521613e-10,"Up_in_3D"
"RPS18",4.29237894184309e-15,0.396136257563014,0.974,0.859,1.57105361650399e-10,"Up_in_3D"
"RALA",4.694166245446e-15,1.6545052234709,0.436,0.19,1.71811178749569e-10,"Up_in_3D"
"ALDH1A3",4.76156230184338e-15,2.50726461637735,0.218,0.038,1.74277941809769e-10,"Up_in_3D"
"ADIRF",6.01661213766875e-15,1.46106214287717,0.218,0.036,2.20214020850814e-10,"Up_in_3D"
"GSTA1",7.45315346818392e-15,1.77976228706608,0.317,0.094,2.72792870089e-10,"Up_in_3D"
"LXN",9.61221453189538e-15,2.78442963329678,0.202,0.032,3.51816664081903e-10,"Up_in_3D"
"RPL27",1.19181737565954e-14,0.508661849203669,0.885,0.632,4.36217077665147e-10,"Up_in_3D"
"DCTN3",1.27137292067408e-14,1.22798626819396,0.317,0.092,4.65335202695919e-10,"Up_in_3D"
"COX6C",1.32024582807331e-14,0.911469225383984,0.651,0.346,4.83223175533111e-10,"Up_in_3D"
"IGFBP2",1.38983959574823e-14,1.6487917474382,0.426,0.19,5.08695190439809e-10,"Up_in_3D"
"GAPDH",1.722781339319e-14,0.484420763563739,0.955,0.827,6.30555198004145e-10,"Up_in_3D"
"AK1",1.99531279623483e-14,1.27627270924918,0.314,0.092,7.30304436549912e-10,"Up_in_3D"
"NDUFB4",2.34128460577779e-14,0.981113417460529,0.503,0.226,8.56933578560728e-10,"Up_in_3D"
"FOSB",2.72691540208034e-14,4.08397362246627,0.131,0.004,9.98078306315425e-10,"Up_in_3D"
"NBL1",2.89344533707043e-14,1.55060414301419,0.215,0.038,1.05902992782115e-09,"Up_in_3D"
"NDUFA7",2.97315344865748e-14,1.19261527218975,0.34,0.107,1.08820389374313e-09,"Up_in_3D"
"ITGB1",3.03534057614387e-14,-1.05473515942296,0.542,0.733,1.11096500427442e-09,"Up_in_2D"
"ECHS1",3.09755561096241e-14,1.0423402334163,0.407,0.147,1.13373632916835e-09,"Up_in_3D"
"REXO2",3.2518656215247e-14,0.916655449622715,0.449,0.179,1.19021533613425e-09,"Up_in_3D"
"MRPL36",3.41989032114334e-14,1.7679192285863,0.279,0.077,1.25171405644167e-09,"Up_in_3D"
"UQCRQ",3.59413270757791e-14,0.839412965597899,0.715,0.442,1.31548851230059e-09,"Up_in_3D"
"RPL32",3.74983603226748e-14,0.484445921341443,0.952,0.799,1.37247748617022e-09,"Up_in_3D"
"SF3B5",4.0430298952256e-14,1.22393627199512,0.375,0.135,1.47978937195152e-09,"Up_in_3D"
"ID4",4.27993675228778e-14,2.80541083318256,0.154,0.013,1.56649965070485e-09,"Up_in_3D"
"RAC2",4.48989497405917e-14,2.0274143052177,0.218,0.043,1.6433464594554e-09,"Up_in_3D"
"CHCHD10",4.82744442644871e-14,1.06763951416159,0.484,0.214,1.76689293452449e-09,"Up_in_3D"
"OCIAD2",5.22862885480663e-14,1.16046620797428,0.494,0.222,1.91373044714777e-09,"Up_in_3D"
"RPL14",5.51067980562395e-14,0.559285473732947,0.894,0.709,2.01696391565642e-09,"Up_in_3D"
"DNPH1",5.8704231229814e-14,1.38463150982097,0.337,0.111,2.14863356724242e-09,"Up_in_3D"
"C1QBP",6.86189665743256e-14,1.03487779618329,0.417,0.158,2.51152279558689e-09,"Up_in_3D"
"COX7B",7.74194483150953e-14,0.866103489866343,0.59,0.301,2.8336292277808e-09,"Up_in_3D"
"SVIP",9.35950752680188e-14,1.51711568099216,0.263,0.066,3.42567334988476e-09,"Up_in_3D"
"ATP5F1C",1.00158720492127e-13,1.00905532481009,0.442,0.182,3.66590932873235e-09,"Up_in_3D"
"NDUFAB1",1.34723730017758e-13,1.019138993494,0.401,0.15,4.93102324237997e-09,"Up_in_3D"
"RGS4",1.39345533527353e-13,2.16538485923741,0.17,0.021,5.10018587263465e-09,"Up_in_3D"
"MRPS24",1.4827574333168e-13,1.2581567635251,0.369,0.135,5.42704048168282e-09,"Up_in_3D"
"RPS12",1.51828904000888e-13,0.344851193563652,0.987,0.848,5.5570897153365e-09,"Up_in_3D"
"SH3BGRL3",1.53921755002135e-13,0.874773134112012,0.689,0.451,5.63369015483316e-09,"Up_in_3D"
"ATP5MG",1.56657329405874e-13,0.856551757928991,0.647,0.357,5.73381491358438e-09,"Up_in_3D"
"MRPS34",1.64748469778531e-13,1.24954553391437,0.353,0.122,6.029958742364e-09,"Up_in_3D"
"ATP5MD",1.74710111721399e-13,0.80021429959811,0.699,0.434,6.39456479911491e-09,"Up_in_3D"
"HEBP2",1.89342623390891e-13,1.04069906785421,0.378,0.139,6.93012935872999e-09,"Up_in_3D"
"NACA",1.98086057238285e-13,0.58055870249231,0.84,0.596,7.25014778097848e-09,"Up_in_3D"
"ID1",1.99655865165801e-13,1.71583706065877,0.212,0.041,7.30760432093349e-09,"Up_in_3D"
"NDUFA12",2.07989588480601e-13,0.970101279012913,0.34,0.113,7.61262692797849e-09,"Up_in_3D"
"COPS5",2.09121063074218e-13,1.81721007124421,0.221,0.047,7.65404002957944e-09,"Up_in_3D"
"RPL15",2.35888160969972e-13,0.511780700728374,0.926,0.735,8.63374257966194e-09,"Up_in_3D"
"COX14",2.51827781168931e-13,1.11271369271461,0.317,0.1,9.21714861856405e-09,"Up_in_3D"
"NIT2",2.52899474097332e-13,1.35999181894534,0.25,0.062,9.25637365143646e-09,"Up_in_3D"
"APRT",2.67698296585161e-13,0.918344003945465,0.535,0.246,9.79802535331349e-09,"Up_in_3D"
"RPS15",2.80899247128703e-13,0.525407605701968,0.913,0.692,1.02811933441576e-08,"Up_in_3D"
"RBIS",2.85488896606216e-13,1.12513762697668,0.359,0.128,1.04491791046841e-08,"Up_in_3D"
"ELOB",3.32905146483173e-13,0.718434245709483,0.686,0.385,1.21846612664306e-08,"Up_in_3D"
"RPL11",3.80016986931269e-13,0.455211604672246,0.949,0.78,1.39090017386714e-08,"Up_in_3D"
"GLRX2",3.80787900648017e-13,1.80004227959614,0.221,0.049,1.39372179516181e-08,"Up_in_3D"
"PSMA5",4.07799850379115e-13,1.0878254611376,0.381,0.145,1.4925882323726e-08,"Up_in_3D"
"IGFBP4",4.76614697840216e-13,1.27011145489564,0.468,0.233,1.74445745556498e-08,"Up_in_3D"
"RPS19",4.78816819147397e-13,0.389234363700906,0.971,0.878,1.75251743976139e-08,"Up_in_3D"
"MRPL15",5.18364089958952e-13,1.70780001140917,0.26,0.073,1.89726440565876e-08,"Up_in_3D"
"SUMO2",5.54004183956746e-13,0.857681156080645,0.522,0.261,2.02771071370009e-08,"Up_in_3D"
"TIMM10",5.59113108384592e-13,1.57678970312536,0.221,0.049,2.04640988799845e-08,"Up_in_3D"
"CIB1",5.94384232058338e-13,1.06922865323287,0.436,0.19,2.17550572775672e-08,"Up_in_3D"
"NDUFB2",6.75278377629081e-13,0.865837392369234,0.583,0.308,2.4715863899602e-08,"Up_in_3D"
"ANXA1",7.59208664307633e-13,0.928427400525959,0.532,0.265,2.77877963223237e-08,"Up_in_3D"
"DYNLT1",7.78861531725623e-13,0.92452047581148,0.458,0.199,2.85071109226895e-08,"Up_in_3D"
"RPL36",7.95700624504353e-13,0.446433365548694,0.907,0.707,2.91234385574838e-08,"Up_in_3D"
"KRT10",8.69304317210868e-13,1.28822632948826,0.34,0.122,3.1817407314235e-08,"Up_in_3D"
"MT1X",9.39305777388108e-13,0.758694125964779,0.705,0.453,3.43795307581821e-08,"Up_in_3D"
"MICOS10",1.12496955116182e-12,0.950031360738686,0.532,0.259,4.11750105420738e-08,"Up_in_3D"
"RPS13",1.24079798431249e-12,0.50730902656757,0.891,0.716,4.54144470238214e-08,"Up_in_3D"
"ATP5MC3",1.33498743476893e-12,0.886024178028669,0.596,0.321,4.88618750999777e-08,"Up_in_3D"
"DHRS3",1.47076048501534e-12,1.86025658250897,0.196,0.038,5.38313045120464e-08,"Up_in_3D"
"GSTK1",1.54561596949568e-12,1.44125941931907,0.279,0.083,5.65710900995114e-08,"Up_in_3D"
"RPA3",1.67493515894095e-12,1.65632789635952,0.205,0.043,6.13043017523976e-08,"Up_in_3D"
"HHIP-AS1",1.72963065038649e-12,4.79448617726334,0.115,0.004,6.3306211434796e-08,"Up_in_3D"
"NME1",1.92822458431738e-12,0.849493623020998,0.449,0.192,7.05749480106005e-08,"Up_in_3D"
"COX5B",2.24922087968425e-12,0.829700310560304,0.577,0.31,8.23237334173232e-08,"Up_in_3D"
"EEF1B2",2.55027483555596e-12,0.511989781114619,0.801,0.545,9.33426092561836e-08,"Up_in_3D"
"SSBP1",2.69597541848503e-12,1.00107713085367,0.446,0.199,9.86753962919705e-08,"Up_in_3D"
"IFI27L2",2.94406456423477e-12,0.78244719373513,0.317,0.103,1.07755707115557e-07,"Up_in_3D"
"RPS27",3.14061336805401e-12,0.403515131716934,0.933,0.744,1.14949589884145e-07,"Up_in_3D"
"CAV2",3.26895445212666e-12,1.11894852859761,0.369,0.141,1.19647001902288e-07,"Up_in_3D"
"PHPT1",3.45244025198652e-12,0.83545618237013,0.5,0.235,1.26362765662959e-07,"Up_in_3D"
"SELENOH",3.49534639632251e-12,1.00099371937384,0.407,0.169,1.279331734518e-07,"Up_in_3D"
"MRPS12",3.75393569366585e-12,1.51150565269095,0.279,0.088,1.37397800323864e-07,"Up_in_3D"
"RPL7A",4.15998856909798e-12,0.460590314059227,0.913,0.776,1.52259741617555e-07,"Up_in_3D"
"CIRBP",5.72282121116905e-12,1.07401754596842,0.272,0.083,2.09460979149998e-07,"Up_in_3D"
"RPL19",5.77606425420086e-12,0.457752615329055,0.933,0.744,2.11409727768006e-07,"Up_in_3D"
"EIF5A",5.79715917062931e-12,0.860492370676534,0.583,0.316,2.12181822804203e-07,"Up_in_3D"
"LDHA",5.99272581145192e-12,0.687289229422279,0.676,0.412,2.19339757424952e-07,"Up_in_3D"
"NDUFB11",6.38861436416257e-12,0.906602279933916,0.439,0.192,2.33829674342714e-07,"Up_in_3D"
"NDUFB10",6.96191899024228e-12,0.787964242889837,0.452,0.205,2.54813196961858e-07,"Up_in_3D"
"POLR2L",7.21890327476665e-12,0.685644383394574,0.673,0.408,2.64219078759734e-07,"Up_in_3D"
"PSMA2",7.2542908999627e-12,0.852043359820322,0.439,0.194,2.65514301229535e-07,"Up_in_3D"
"APOC1",8.34179161584275e-12,0.914550961098325,0.571,0.312,3.0531791493146e-07,"Up_in_3D"
"UBB",8.79006882890917e-12,0.724665630428998,0.606,0.335,3.21725309206905e-07,"Up_in_3D"
"TMA7",8.88811700129417e-12,0.717785331191381,0.647,0.363,3.25313970364368e-07,"Up_in_3D"
"METRN",9.31061836267182e-12,0.9740203658339,0.295,0.096,3.40777942692151e-07,"Up_in_3D"
"H3F3B",9.52150932811163e-12,0.692665504567747,0.609,0.335,3.48496762918214e-07,"Up_in_3D"
"SPTBN1",9.66520761066757e-12,-1.39148410631325,0.308,0.509,3.53756263758044e-07,"Up_in_2D"
"RPL28",1.05038924664139e-11,0.395545807076522,0.965,0.808,3.84452968163217e-07,"Up_in_3D"
"MDH2",1.05401970501965e-11,0.925435544550682,0.423,0.188,3.85781752234242e-07,"Up_in_3D"
"RHOD",1.06515693721027e-11,1.47213554634351,0.295,0.1,3.89858090588331e-07,"Up_in_3D"
"MSRB2",1.12637514158734e-11,1.10899621315441,0.276,0.085,4.12264565572381e-07,"Up_in_3D"
"RPS3",1.28224899107747e-11,0.414347388572812,0.901,0.677,4.69315953224264e-07,"Up_in_3D"
"MRPL57",1.28395127652398e-11,1.15894687444628,0.288,0.096,4.69939006720542e-07,"Up_in_3D"
"CMC1",1.28574595428727e-11,1.46519542652317,0.218,0.053,4.70595876728684e-07,"Up_in_3D"
"ITPA",1.29830505517725e-11,1.16264348507532,0.224,0.058,4.75192633245426e-07,"Up_in_3D"
"BTF3L4",1.31636930241626e-11,1.91834250442706,0.205,0.049,4.81804328377374e-07,"Up_in_3D"
"DIRAS3",1.43159317977571e-11,4.20307984518948,0.119,0.009,5.23977419729707e-07,"Up_in_3D"
"PNRC1",1.45665992108712e-11,0.978952754775097,0.423,0.186,5.33152097717096e-07,"Up_in_3D"
"H3F3A",1.48906946541598e-11,0.635841198581385,0.683,0.402,5.45014315036904e-07,"Up_in_3D"
"GAMT",1.52204878371161e-11,1.11586226453302,0.266,0.081,5.57085075326285e-07,"Up_in_3D"
